Block Name                                                                                                    , DW Weight BRAM, PW Weight (Ping/Pong) BRAM Ping, PW Weight (Ping/Pong) BRAM Pong, SE1 Weight (Ping/Pong) BRAM Ping, SE1 Weight (Ping/Pong) BRAM Pong, SE2 Weight (Ping/Pong) BRAM Ping, SE2 Weight (Ping/Pong) BRAM Pong, DW ACC BRAM, PW ACC BRAM, SE1 ACC BRAM, SE2 ACC BRAM, GAP BRAM, IFM BRAM, MUL BRAM, IFM Load Calls, PW1 Pre-load Calls, PW1 load calls, PW1 Cycles, DW Cycles, GAP Cycles, SE1 Pre-load Calls, SE1 Cycles, SE1 Hidden Cycles, SE2 Pre-load Calls, SE2 Cycles, SE2 Hidden Cycles, MUL Cycles, PW_LAST Pre-load Calls, PW_LAST Cycles, PW_LAST Hidden Cycles, PW LAST W (Ping/Pong) BRAM Ping, PW LAST W (Ping/Pong) BRAM Pong, PW LAST ACC BRAM, OUTPUT BRAM, ADD Cycles
"Block 4a (PW_C_IN=48, PW_H_in=28, PW_W_in=28, PW_C_OUT=192, DW_STRIDE=2, SE_PW_1_COUT=12, PW_LAST_COUT=96)"  ,           1.69,                            0.75,                            0.75,                              3.0,                              3.0,                             0.25,                             0.25,       36.75,      147.0 ,         0.02,         0.19,     0.19,    36.75,    36.75,           2352,                 48,            528,      28224,     21168,       2352,                 48,         36,                96,                  4,         48,               188,       2352,                    192,          14112,                   960,                             3.0,                             3.0,            18.38,       18.38,          0
"Block 4b (PW_C_IN=96, PW_H_in=14, PW_W_in=14, PW_C_OUT=384, DW_STRIDE=1, SE_PW_1_COUT=24, PW_LAST_COUT=96)"  ,           3.38,                            1.5 ,                            1.5 ,                              6.0,                              6.0,                             0.5 ,                             0.5 ,       73.5 ,       73.5 ,         0.03,         0.38,     0.38,    18.38,    73.5 ,           1176,                 96,           2208,      28224,     42336,       4704,                 96,        144,               480,                  8,        192,               760,       4704,                    384,          28224,                  1920,                             6.0,                             6.0,            18.38,       18.38,       1176
"Block 4c (PW_C_IN=96, PW_H_in=14, PW_W_in=14, PW_C_OUT=384, DW_STRIDE=1, SE_PW_1_COUT=24, PW_LAST_COUT=96)"  ,           3.38,                            1.5 ,                            1.5 ,                              6.0,                              6.0,                             0.5 ,                             0.5 ,       73.5 ,       73.5 ,         0.03,         0.38,     0.38,    18.38,    73.5 ,           1176,                 96,           2208,      28224,     42336,       4704,                 96,        144,               480,                  8,        192,               760,       4704,                    384,          28224,                  1920,                             6.0,                             6.0,            18.38,       18.38,       1176
"Block 5a (PW_C_IN=96, PW_H_in=14, PW_W_in=14, PW_C_OUT=576, DW_STRIDE=1, SE_PW_1_COUT=24, PW_LAST_COUT=112)" ,           5.06,                            1.5 ,                            1.5 ,                              9.0,                              9.0,                             0.5 ,                             0.5 ,      110.25,      110.25,         0.03,         0.56,     0.56,    18.38,   110.25,           1176,                 96,           3360,      42336,     63504,       7056,                144,        216,               720,                  8,        288,              1144,       7056,                    576,          49392,                  3456,                             9.0,                             9.0,            21.44,       21.44,          0
"Block 5b (PW_C_IN=112, PW_H_in=14, PW_W_in=14, PW_C_OUT=672, DW_STRIDE=1, SE_PW_1_COUT=28, PW_LAST_COUT=112)",           5.91,                            1.75,                            1.75,                             10.5,                             10.5,                             0.5 ,                             0.5 ,      128.62,      128.62,         0.03,         0.66,     0.66,    21.44,   128.62,           1372,                112,           4592,      57624,     74088,       8232,                168,        294,              1008,                  8,        336,              1336,       8232,                    672,          57624,                  4032,                            10.5,                            10.5,            21.44,       21.44,       1372
"Block 5c (PW_C_IN=112, PW_H_in=14, PW_W_in=14, PW_C_OUT=672, DW_STRIDE=1, SE_PW_1_COUT=28, PW_LAST_COUT=112)",           5.91,                            1.75,                            1.75,                             10.5,                             10.5,                             0.5 ,                             0.5 ,      128.62,      128.62,         0.03,         0.66,     0.66,    21.44,   128.62,           1372,                112,           4592,      57624,     74088,       8232,                168,        294,              1008,                  8,        336,              1336,       8232,                    672,          57624,                  4032,                            10.5,                            10.5,            21.44,       21.44,       1372
"Block 5d (PW_C_IN=112, PW_H_in=14, PW_W_in=14, PW_C_OUT=672, DW_STRIDE=1, SE_PW_1_COUT=28, PW_LAST_COUT=112)",           5.91,                            1.75,                            1.75,                             10.5,                             10.5,                             0.5 ,                             0.5 ,      128.62,      128.62,         0.03,         0.66,     0.66,    21.44,   128.62,           1372,                112,           4592,      57624,     74088,       8232,                168,        294,              1008,                  8,        336,              1336,       8232,                    672,          57624,                  4032,                            10.5,                            10.5,            21.44,       21.44,       1372
"Block 5e (PW_C_IN=112, PW_H_in=14, PW_W_in=14, PW_C_OUT=672, DW_STRIDE=1, SE_PW_1_COUT=28, PW_LAST_COUT=112)",           5.91,                            1.75,                            1.75,                             10.5,                             10.5,                             0.5 ,                             0.5 ,      128.62,      128.62,         0.03,         0.66,     0.66,    21.44,   128.62,           1372,                112,           4592,      57624,     74088,       8232,                168,        294,              1008,                  8,        336,              1336,       8232,                    672,          57624,                  4032,                            10.5,                            10.5,            21.44,       21.44,       1372
"Block 6a (PW_C_IN=112, PW_H_in=14, PW_W_in=14, PW_C_OUT=672, DW_STRIDE=2, SE_PW_1_COUT=28, PW_LAST_COUT=192)",           5.91,                            1.75,                            1.75,                             10.5,                             10.5,                             0.5 ,                             0.5 ,       32.16,      128.62,         0.03,         0.66,     0.66,    21.44,    32.16,           1372,                112,           4592,      57624,     18522,       2058,                168,        294,              1008,                  8,        336,              1336,       2058,                    672,          24696,                  7392,                            10.5,                            10.5,             9.19,        9.19,          0
"Block 6b (PW_C_IN=192, PW_H_in=7, PW_W_in=7, PW_C_OUT=1152, DW_STRIDE=1, SE_PW_1_COUT=48, PW_LAST_COUT=192)" ,          10.12,                            3.0 ,                            3.0 ,                             18.0,                             18.0,                             0.75,                             0.75,       55.12,       55.12,         0.05,         1.12,     1.12,     9.19,    55.12,            588,                192,          13632,      42336,     31752,       3528,                288,        864,              3168,                 12,        864,              3444,       3528,                   1152,          42336,                 12672,                            18.0,                            18.0,             9.19,        9.19,        588
"Block 6c (PW_C_IN=192, PW_H_in=7, PW_W_in=7, PW_C_OUT=1152, DW_STRIDE=1, SE_PW_1_COUT=48, PW_LAST_COUT=192)" ,          10.12,                            3.0 ,                            3.0 ,                             18.0,                             18.0,                             0.75,                             0.75,       55.12,       55.12,         0.05,         1.12,     1.12,     9.19,    55.12,            588,                192,          13632,      42336,     31752,       3528,                288,        864,              3168,                 12,        864,              3444,       3528,                   1152,          42336,                 12672,                            18.0,                            18.0,             9.19,        9.19,        588
"Block 6d (PW_C_IN=192, PW_H_in=7, PW_W_in=7, PW_C_OUT=1152, DW_STRIDE=1, SE_PW_1_COUT=48, PW_LAST_COUT=192)" ,          10.12,                            3.0 ,                            3.0 ,                             18.0,                             18.0,                             0.75,                             0.75,       55.12,       55.12,         0.05,         1.12,     1.12,     9.19,    55.12,            588,                192,          13632,      42336,     31752,       3528,                288,        864,              3168,                 12,        864,              3444,       3528,                   1152,          42336,                 12672,                            18.0,                            18.0,             9.19,        9.19,        588
